Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
165,0,0.232055,-0.387546,67.1258,-127.613,-31.9907,-61.725,0.478819,-1.89646,0,0,0,0,0,0,0,-515,0,0
166,0,0.192062,-0.495212,69.8144,-92.0754,-43.0254,-44.5011,0.610515,-1.33562,0,0,0,0,0,0,0,-515,0,0
167,0,0.156534,-0.594132,68.6482,-82.5072,-28.1251,-35.6809,0.403217,-1.20827,0,0,0,0,0,0,0,-515,0,0
168,0,0.122373,-0.587706,67.4115,-104.596,-50.6256,-3.20264,0.751253,-1.55168,0,0,0,0,0,0,0,-515,0,0
169,0,0.132803,-0.434545,67.1864,-93.1716,-34.1729,36.9617,0.50789,-1.38641,0,0,0,0,0,0,0,-515,0,0
170,0,-0.0390265,-0.323127,66.627,-93.1301,-71.3121,0.325441,1.07319,-1.39825,0,0,0,0,0,0,0,-515,0,0
171,0,-0.0228999,-0.265677,68.1495,-110.095,-91.5502,-63.1989,1.3452,-1.61357,0,0,0,0,0,0,0,-515,0,0
172,0,0.00228884,-0.349346,67.3441,-95.045,-72.9962,-17.9201,1.0815,-1.40781,0,0,0,0,0,0,0,-515,0,0
173,0,-0.128897,-0.445015,68.1076,-74.3367,-37.4281,-35.7565,0.55466,-1.09352,0,0,0,0,0,0,0,-515,0,0
174,0,0.0544235,-0.455237,70.8104,-154.873,27.765,-89.8197,-0.382419,-2.17149,0,0,0,0,0,0,0,-515,0,0
175,0,0.31642,-0.459622,73.0017,-141.588,-12.7722,-107.478,0.167171,-1.94643,0,0,0,0,0,0,0,-515,0,0
176,0,0.393872,-0.403003,72.2656,-74.7776,-21.922,-47.5008,0.300276,-1.02995,0,0,0,0,0,0,0,-515,0,0
177,0,0.43191,-0.533919,71.9718,-85.326,-70.3783,31.0428,0.975573,-1.18443,0,0,0,0,0,0,0,-515,0,0
178,0,0.28621,-0.484097,72.1576,-70.7484,-47.7649,-39.8899,0.661899,-0.980441,0,0,0,0,0,0,0,-515,0,0
179,0,0.104639,-0.48745,70.2688,-138.299,-76.6087,-88.2084,1.10115,-1.98449,0,0,0,0,0,0,0,-515,0,0
180,0,0.0831318,-0.575073,67.6396,-157.111,-79.9925,-70.7741,1.17849,-2.31932,0,0,0,0,0,0,0,-515,0,0
