Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
136,0,0.29874,-0.100085,38.6111,-94.2131,-36.9107,-189.236,0.910921,-2.44946,0,0,0,0,0,0,0,-515,0,0
137,0,0.378866,-0.178562,37.5067,-79.1578,-39.9587,-182.146,1.05465,-2.10706,0,0,0,0,0,0,0,-515,0,0
138,0,0.292598,-0.121331,36.6018,-84.1289,13.0014,-106.334,-0.357791,-2.29905,0,0,0,0,0,0,0,-515,0,0
139,0,0.235803,-0.100857,36.0194,-126.278,2.38327,-86.2789,-0.0626183,-3.51135,0,0,0,0,0,0,0,-515,0,0
140,0,0.312549,0.162558,35.488,-91.7135,14.9091,-189.237,-0.422272,-2.57969,0,0,0,0,0,0,0,-515,0,0
141,0,0.436293,0.00920473,37.3096,-125.083,-19.8913,-212.256,0.511972,-3.33015,0,0,0,0,0,0,0,-515,0,0
142,0,0.254671,-0.0232182,37.7709,-151.941,-14.1654,-98.3644,0.373891,-4.02325,0,0,0,0,0,0,0,-515,0,0
143,0,0.307553,-0.00353988,43.7418,-82.5869,-14.4477,-41.7103,0.323395,-1.99175,0,0,0,0,0,0,0,-515,0,0
144,0,0.0911271,0.11982,41.8352,-20.997,-20.4857,-150.061,0.493787,-0.475759,0,0,0,0,0,0,0,-515,0,0
145,0,0.174916,0.0713755,37.6818,-10.9524,-52.6627,-138.719,1.42015,-0.292897,0,0,0,0,0,0,0,-515,0,0
146,0,0.155488,0.111286,38.2989,-62.1062,-48.7014,-111.812,1.27823,-1.60296,0,0,0,0,0,0,0,-515,0,0
147,0,0.138183,-0.0202619,37.4174,-58.3067,-41.6342,-76.8067,1.11263,-1.55142,0,0,0,0,0,0,0,-515,0,0
148,0,-0.10286,-0.307829,36.246,-95.5262,10.6597,-17.0889,-0.303234,-2.64371,0,0,0,0,0,0,0,-515,0,0
149,0,-0.063818,-0.251233,36.3074,-55.5095,23.0188,-20.124,-0.634484,-1.53337,0,0,0,0,0,0,0,-515,0,0
150,0,0.265875,-0.126533,35.6361,-74.058,-16.4636,-59.8986,0.470047,-2.0867,0,0,0,0,0,0,0,-515,0,0
151,0,0.402448,-0.0836991,35.22,-87.251,-4.09484,-120.096,0.115234,-2.47731,0,0,0,0,0,0,0,-515,0,0
152,0,0.147092,-0.250499,34.9378,-103.84,-10.7248,-105.006,0.308027,-2.9733,0,0,0,0,0,0,0,-515,0,0
153,0,-0.00744304,-0.200533,35.2851,-53.4079,-1.97845,-129.854,0.057839,-1.52064,0,0,0,0,0,0,0,-515,0,0
