currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
16337,798.51,766.52,755.82,760.8,770.41,-31.74,-763.67,687.01,0.92,5.79,-1.37,-73.05,3268,0,22.7699,5.49613,-303.967,17378.7,-24359.3,-2377.29,-578.138,-57.1733,0,56
16376,799.66,767.21,755.84,760.54,770.81,-70.8,-781.74,673.34,-6.19,5.24,-0.95,-78.2,3276,0,23.2128,4.76126,-306.072,18160.8,-24208,-2361.76,-577.093,-59.3349,0,56
16412,800.84,767.74,755.81,760.45,771.21,-39.06,-770.02,656.25,-2.43,3.37,-1.36,-85.74,3283,0,23.7953,4.85454,-309.614,18645.2,-24026.9,-2112.59,-575.603,-60.2207,0,56
16448,801.07,768.16,755.79,760.48,771.37,-58.11,-766.11,664.06,-0.31,1.91,-1.88,-90.91,3291,0,24.2697,6.11276,-312.07,19155.2,-23739.7,-1963.32,-574.072,-61.3808,0,56
16484,801.47,768.49,755.69,759.84,771.37,-49.8,-777.34,674.32,-5.93,-1.11,-1.1,-87.87,3298,0,24.8436,8.10353,-312.51,18818.9,-23491.2,-1989.05,-573.169,-60.2184,0,56
16520,802.62,768.24,755.45,758.56,771.22,-68.36,-779.79,658.2,-5.36,-1.11,-0.81,-76.89,3305,0,24.4266,10.8813,-313.899,18998,-23331.6,-2073.98,-572.328,-60.5227,0,56
16558,802.48,767.68,755.31,757.74,770.8,-60.06,-778.81,637.21,-5.3,-1.34,-0.34,-63.38,3313,0,24.2533,9.91975,-307.795,19687.9,-22678.3,-1675.13,-571.68,-63.9649,0,56
16594,801.9,765.72,755.11,756.54,769.82,-35.64,-782.71,662.6,-13.06,3.53,2.92,-33.09,3320,0,25.6897,10.042,-295.02,20218.7,-21430.4,-1460.71,-570.64,-68.5338,0,56
16630,798.39,764.06,755,755.91,768.34,-40.04,-823.73,654.79,-8,-4.79,-1.08,-1.2,3327,0,23.58,8.07149,-282.63,20802.2,-20588.7,-1251.2,-570.847,-73.6032,0,56
16666,799.78,762.9,755,755.4,768.27,-54.69,-803.71,615.72,-4.36,3.89,1.31,11.01,3334,0,17.6343,-0.264964,-241.605,19885.2,-17865.9,-509.143,-571.949,-82.3101,0,56
16702,796.95,761.42,754.86,755.14,767.09,-135.74,-758.3,585.94,-27.75,5.69,6.34,32.87,3341,0,16.5088,2.86049,-235.655,20425,-17700.9,-727.665,-573.113,-86.6731,0,56
16739,801.94,761.73,754.94,755.08,768.42,-32.71,-843.75,604.49,13.3,-3.34,3.24,15.96,3349,0,11.7849,-9.55038,-218.705,20952,-16867.5,334.487,-575.125,-95.8038,0,56
16777,797.88,760.52,754.77,755.03,767.05,82.52,-846.19,774.41,-58.5,18.37,25.66,36.2,3356,0,13.6669,-2.9446,-219.577,21490.2,-16832.7,360.342,-574.661,-97.8786,0,56
16813,795.81,760.6,754.78,755.05,766.56,-510.25,-811.52,220.7,-14.71,6.72,-29.22,42.66,3364,0,10.8051,-12.8217,-233.779,23656.7,-18156.1,1078.38,-575.667,-101.196,0,56
16848,801.07,760.83,754.75,755.07,767.93,208.98,-667.97,970.21,-25.45,24.97,11.86,21.8,3371,0,6.20694,-21.6581,-185.56,20428.4,-14533.7,1379.4,-576.323,-110.09,0,56
16884,797.64,760.82,754.74,755.05,767.06,-271.48,-687.99,533.69,3.85,1.01,-20.02,33.48,3378,0,11.4531,-6.03941,-235.631,24077,-18157.2,292.16,-575.057,-102.181,0,56
16920,803.81,762.07,754.68,755.01,768.89,119.63,-891.6,328.61,10.62,-5.45,-2.19,1.43,3385,0,9.48506,-20.6398,-208.744,22406.3,-16137.2,1326.98,-575.307,-107.34,0,56
16956,803.05,761.29,754.76,755.08,768.54,-73.24,-750,691.89,-14.01,8.08,2.95,11.45,3392,0,15.8936,-8.18404,-236.411,23897.1,-17884.8,453.294,-573.652,-101.089,0,56
16994,806.15,762.02,754.73,755.13,769.51,48.83,-769.53,736.33,20.56,-4.42,-1.23,-6.74,3400,0,14.3305,-4.96166,-256.515,25187.6,-19823.2,-253.979,-575.28,-98.1939,0,56
17030,803.15,761.25,754.76,755.35,768.63,-73.73,-802.73,633.79,-3.49,-1.76,7.85,7.28,3407,0,15.5777,-3.9149,-266.228,25612.2,-20477.3,-265.87,-574.917,-96.2094,0,56
17066,804.91,761.92,754.81,755.3,769.23,-16.11,-769.53,679.2,17.76,-3.41,-5.34,-2.2,3414,0,12.3986,-4.41288,-266.349,25676.9,-20765.9,57.0099,-575.965,-96.4061,0,56
17102,802.61,761.45,754.81,755.57,768.61,-33.69,-763.67,709.96,-16.66,1.89,2.32,5.55,3421,0,10.5825,-9.66641,-263.059,24969.7,-20766.9,434.501,-576.945,-94.9313,0,56
17137,805.36,763.42,754.91,756.32,770,-97.66,-822.27,613.77,11.94,1.36,-11.21,-28.12,3428,0,10.1736,-4.20091,-268.292,24659,-21471.2,-466.124,-578.029,-91.9107,0,56
